rank,uid,username,type
1,5729200,畏光゛,提督
2,3493294526958393,萝宝宝の月月,提督
3,11965818,喜欢玉玉的面包片同学,舰长
4,249594967,鬼混少女小福狸,舰长
5,34157994,爱学习的萌新白面包,舰长
6,367346953,洛天启I黑星,舰长
7,36132907,猫鳄霸,舰长
8,519274401,爱面包的幸运鹅,舰长
9,677668473,萝哥の现亦,舰长
10,11933095,靑鋆子,舰长
11,290798377,萝宝の树叶,舰长
12,452182553,一条咸化鲨鱼,舰长
13,16174561,凯哥的小菊,舰长
14,509846987,枫浅沐熙,舰长
15,60461156,-我-永远喜欢爱莉希雅,舰长
16,437490940,养马糕手-,舰长
17,484156,欧卡尼亚,舰长
18,164870864,萝宝の橙子,舰长
19,456839656,凌冬寒九,舰长
20,1942864208,卡萝尔Akuma,舰长
21,264489711,北极星夜,舰长
22,1121669110,微の影,舰长
23,573508245,鸢华ankou,舰长
24,189598054,i珂i,舰长
25,123729248,天麟夜宇,舰长
26,3546383783037041,浮华于世的冒险人,舰长
27,23235335,韩沐渚,舰长
28,3546393505433751,爱情是糖捏,舰长
29,591355861,小小空洞骑士,舰长
30,1695619600,阳气四射,舰长
31,4738109,绯樱_-,舰长
32,383036333,潇潇无雨声,舰长
33,404566288,幻夕hxi,舰长
34,79963241,cube_miku,舰长
35,667808281,萝宝的杨逸,舰长
36,392082420,V圈守墓人-逆风21314号,舰长
37,507853569,夜浩ya,舰长
38,176575959,账号以主削,舰长
39,3546669796821037,不是内个秋,舰长
40,547170297,指尖流沙秋风,舰长
41,284142814,e芙芙e,舰长
42,141675125,卧继而榜影,舰长
43,6202660,郁闷的往人,舰长
44,30683849,风凌碧落,舰长
45,3546596253895217,藍祤子,舰长
46,1356196765,徐泽魈杨,舰长
47,416014101,肥灵魅,舰长
48,1312733059,酷百分之20,舰长
49,3546715697187565,龙之梦迷,舰长
50,12636873,jjacky546,舰长
51,445553076,传说中的梓木,舰长
52,389008560,不敢玩re的小鬼,舰长
53,343836607,二零237,舰长
54,455895748,沉默の小花生,舰长
55,233645397,苏轩然,舰长
56,32957306,monky_kon,舰长
57,228060522,封尘落窗,舰长
58,512159382,墨---心,舰长
59,487154538,123445HE,舰长
60,242670864,流星阿尔法,舰长
61,1439835232,Shadow_影子使者,舰长
62,3546379699882163,肚纸暖暖的,舰长
63,14485539,幻想勇者,舰长
64,381895261,六月凉柠檬,舰长
65,501267347,一条醋化鲨鱼,舰长
66,3546819493628068,离花未升开,舰长
67,3494372681189668,周咅,舰长
68,286390300,浅夏诗韵M,舰长
69,23622504,小刻的小蜜饼,舰长
70,85717618,云层Official,舰长
71,1248373317,行走-青柠,舰长
